airline,dep_year,total_departures
Allegiant Air,2018,906
Allegiant Air,2019,840
Allegiant Air,2020,729
Allegiant Air,2021,932
Allegiant Air,2022,754
American Airlines,2018,28
American Airlines,2019,845
American Airlines,2020,172
American Airlines,2021,143
American Airlines,2022,697
CitiJet,2018,3468
CitiJet,2019,6233
CitiJet,2020,4431
CitiJet,2021,5272
CitiJet,2022,3908
Delta Airlines,2018,2819
Delta Airlines,2019,2796
Delta Airlines,2020,1585
Delta Airlines,2021,1653
Delta Airlines,2022,1988
Envoy Air (American Eagle),2018,568
Envoy Air (American Eagle),2019,1103
Envoy Air (American Eagle),2020,552
Envoy Air (American Eagle),2021,1095
Envoy Air (American Eagle),2022,1140
Southwest Airlines,2018,4450
Southwest Airlines,2019,4958
Southwest Airlines,2020,3348
Southwest Airlines,2021,3740
Southwest Airlines,2022,3249
